-1.598905868582442880e+00 2.100139329654462580e-02 1.541719297267940547e-02 2.200079217378927976e-03 8.565346800723567799e-01 2.967391857744734393e-03 1.051041189238679952e+00 6.630913253445294142e-01 3.522080694001832768e+01 7.774204159749059651e-01 -6.133561701946072198e+00 1.464225476445437019e-04
-1.576004393224555988e+00 2.203589243364764694e-02 1.924958968771561807e-02 7.707664739549426611e-04 8.478559377354122351e-01 3.393454778683563551e-03 9.528307827168660538e-01 6.622364941668179572e-01 3.288481455976346979e+01 7.621877875057165852e-01 -6.305170604291075342e+00 2.449217735358609027e-04
-1.532810790487869168e+00 2.367028140066394434e-02 2.505298430962654699e-02 1.701275486722702212e-03 8.309231323502164201e-01 4.101955726135639475e-03 8.520024404845333299e-01 6.607805297338377182e-01 2.874869100387422804e+01 7.315585957926722394e-01 -6.989799663550360975e+00 4.733091168727301262e-04
-1.488655249993440233e+00 2.534322885111280066e-02 3.208319881359433801e-02 5.621658282138306288e-04 8.130158792776251975e-01 5.034108020384321647e-03 7.635527538733335451e-01 6.588300695555193709e-01 2.535655569533171061e+01 6.991571115592325469e-01 -7.740231040961329967e+00 8.424601654330991394e-04
-1.439893966866021557e+00 2.742960205642668708e-02 4.170188519685824602e-02 5.205177795013149131e-03 7.925294908948896655e-01 6.352568463904784656e-03 6.827711773203340995e-01 6.560005395622729996e-01 2.210803827000526667e+01 6.591296105440997977e-01 -8.138604894917399690e+00 1.385620618440603150e-03
-1.386423318404980343e+00 2.968923464251616018e-02 5.412359466497607130e-02 4.104488917716937052e-04 7.687188659238117783e-01 8.153602898494302642e-03 6.076464817086884018e-01 6.519149357633928776e-01 1.891070358994114642e+01 6.130179362756406070e-01 -8.337006395188481633e+00 2.201997057089203399e-03
-1.327466505002611319e+00 3.254888643505836343e-02 7.145209370832183993e-02 4.300585690147638905e-04 7.405834638904551515e-01 1.070746284144031592e-02 5.366317188573164199e-01 6.456195173727576897e-01 1.585870473433303118e+01 5.584683475021255949e-01 -8.481014147238347789e+00 3.344110612599203967e-03
-1.292233292431517855e+00 3.035317896350264028e-02 7.852389484348964999e-02 1.608195157509601913e-03 7.240564379224546654e-01 1.111379888235821366e-02 4.877117309704976922e-01 6.427144598162761735e-01 1.433295328670523716e+01 5.291528231554136763e-01 -7.832863784169292742e+00 4.047663880478214599e-03
6.809219978901816413e-04 6.224177152484421799e-03 3.551504793091676457e-05 1.925383144261933474e-03 2.679769151456145183e-04 9.173751587978292744e-04 6.414809748297046338e-04 5.687959391897995853e-04 3.134431356455361344e-03 4.186170797589440040e-04 0.000000000000000000e+00 4.167815655247204735e-06
1.185896881622012676e-03 9.127036071892049435e-03 7.798644647154379919e-05 1.944762277304424268e-03 4.656404031224085222e-04 1.456438346145054463e-03 1.016691345809466037e-03 9.941125405282034803e-04 3.903753329197477261e-03 7.029284342891426417e-04 0.000000000000000000e+00 6.893981260788329090e-06
1.278307227509763427e-03 8.263900119450291043e-03 1.117056427360037582e-04 1.794372826644169156e-03 5.168872841238289018e-04 1.469513401534697184e-03 1.023065430864833914e-03 1.118507582818040712e-03 3.954083529809936104e-03 8.195339251736922159e-04 0.000000000000000000e+00 1.051653580267222322e-05
1.378303096876339192e-03 7.533320562632166151e-03 1.565547385450788995e-04 1.792653699804006148e-03 5.738529343982254815e-04 1.483874600253129363e-03 1.027290988246444244e-03 1.249603241250013845e-03 3.895480246470790168e-03 9.177577128057562081e-04 0.000000000000000000e+00 1.569655792015176588e-05
1.523333843100287263e-03 7.081113018855688702e-03 2.300469791504248563e-04 1.795300582521429421e-03 6.674876263672909621e-04 1.568918359093727068e-03 1.078559087653001161e-03 1.465824782097248412e-03 4.076646570625739111e-03 1.118882643152205834e-03 0.000000000000000000e+00 2.264026042850821968e-05
1.629235795011979354e-03 6.464440607626161309e-03 3.283653606220217781e-04 1.737755061389801344e-03 7.516600288423448770e-04 1.604904703054046717e-03 1.096014212529700625e-03 1.678030069617758233e-03 4.131742596126351287e-03 1.319121029139198355e-03 0.000000000000000000e+00 2.984134731017152242e-05
1.809080063036436984e-03 6.127576383248305517e-03 4.945655499185163013e-04 1.673107038807951493e-03 8.984705591818928014e-04 1.733731372853454999e-03 1.173629327649584799e-03 2.045347918352794295e-03 4.458762092577539179e-03 1.610117779155331502e-03 0.000000000000000000e+00 4.166637799387596318e-05
1.135907675505786092e-03 3.371910758782237661e-03 3.523258467984141705e-04 1.600447570664248562e-03 5.963981536226132651e-04 1.063689956438330919e-03 7.176312281297400749e-04 1.386085290761187271e-03 3.499075426274762379e-03 1.254278049397250343e-03 0.000000000000000000e+00 3.027974295541237379e-05
